protein1,protein2,combined_score
7668.SPU_000022-tr,7668.SPU_007960-tr,999
7668.SPU_000022-tr,7668.SPU_005296-tr,999
7668.SPU_000077-tr,7668.SPU_013353-tr,999
7668.SPU_000109-tr,7668.SPU_014882-tr,999
7668.SPU_000379-tr,7668.SPU_006213-tr,999
7668.SPU_000379-tr,7668.SPU_028226-tr,999
7668.SPU_000379-tr,7668.SPU_005571-tr,999
7668.SPU_000379-tr,7668.SPU_022957-tr,999
7668.SPU_000379-tr,7668.SPU_026541-tr,999
7668.SPU_000379-tr,7668.SPU_013662-tr,999
7668.SPU_000379-tr,7668.SPU_025574-tr,999
7668.SPU_000379-tr,7668.SPU_027892-tr,999
7668.SPU_000379-tr,7668.SPU_004996-tr,999
7668.SPU_000379-tr,7668.SPU_014074-tr,999
7668.SPU_000379-tr,7668.SPU_018884-tr,999
7668.SPU_000379-tr,7668.SPU_005699-tr,999
7668.SPU_000379-tr,7668.SPU_002606-tr,999
7668.SPU_000395-tr,7668.SPU_006213-tr,999
7668.SPU_000395-tr,7668.SPU_028226-tr,999
7668.SPU_000395-tr,7668.SPU_005571-tr,999
7668.SPU_000395-tr,7668.SPU_005252-tr,999
7668.SPU_000395-tr,7668.SPU_005709-tr,999
7668.SPU_000395-tr,7668.SPU_020745-tr,999
7668.SPU_000395-tr,7668.SPU_013662-tr,999
7668.SPU_000395-tr,7668.SPU_018866-tr,999
7668.SPU_000395-tr,7668.SPU_027892-tr,999
7668.SPU_000395-tr,7668.SPU_010626-tr,999
7668.SPU_000395-tr,7668.SPU_018318-tr,999
7668.SPU_000395-tr,7668.SPU_002438-tr,999
7668.SPU_000395-tr,7668.SPU_004609-tr,999
7668.SPU_000395-tr,7668.SPU_015294-tr,999
7668.SPU_000627-tr,7668.SPU_019423-tr,999
7668.SPU_000912-tr,7668.SPU_027783-tr,999
7668.SPU_001247-tr,7668.SPU_018597-tr,999
7668.SPU_001247-tr,7668.SPU_024140-tr,999
7668.SPU_001584-tr,7668.SPU_023531-tr,999
7668.SPU_001925-tr,7668.SPU_019206-tr,999
7668.SPU_001925-tr,7668.SPU_002128-tr,999
7668.SPU_002299-tr,7668.SPU_018139-tr,999
7668.SPU_002299-tr,7668.SPU_026430-tr,999
7668.SPU_002438-tr,7668.SPU_012865-tr,999
7668.SPU_002438-tr,7668.SPU_028366-tr,999
7668.SPU_002438-tr,7668.SPU_005571-tr,999
7668.SPU_002438-tr,7668.SPU_005252-tr,999
7668.SPU_002438-tr,7668.SPU_005709-tr,999
7668.SPU_002438-tr,7668.SPU_020745-tr,999
7668.SPU_002438-tr,7668.SPU_013452-tr,999
7668.SPU_002438-tr,7668.SPU_016200-tr,999
7668.SPU_002438-tr,7668.SPU_015666-tr,999
7668.SPU_002438-tr,7668.SPU_004996-tr,999
7668.SPU_002438-tr,7668.SPU_018318-tr,999
7668.SPU_002438-tr,7668.SPU_018884-tr,999
7668.SPU_002438-tr,7668.SPU_005699-tr,999
7668.SPU_002438-tr,7668.SPU_002606-tr,999
7668.SPU_002464-tr,7668.SPU_015276-tr,999
7668.SPU_002464-tr,7668.SPU_014800-tr,999
7668.SPU_002464-tr,7668.SPU_016200-tr,999
7668.SPU_002464-tr,7668.SPU_006487-tr,999
7668.SPU_002464-tr,7668.SPU_011111-tr,999
7668.SPU_002587-tr,7668.SPU_022161-tr,999
7668.SPU_002606-tr,7668.SPU_004721-tr,999
7668.SPU_002606-tr,7668.SPU_028226-tr,999
7668.SPU_002606-tr,7668.SPU_005571-tr,999
7668.SPU_002606-tr,7668.SPU_005252-tr,999
7668.SPU_002606-tr,7668.SPU_005709-tr,999
7668.SPU_002606-tr,7668.SPU_020745-tr,999
7668.SPU_002606-tr,7668.SPU_013662-tr,999
7668.SPU_002606-tr,7668.SPU_018866-tr,999
7668.SPU_002606-tr,7668.SPU_027892-tr,999
7668.SPU_002606-tr,7668.SPU_010626-tr,999
7668.SPU_002606-tr,7668.SPU_006569-tr,999
7668.SPU_002606-tr,7668.SPU_006487-tr,999
7668.SPU_002606-tr,7668.SPU_000395-tr,999
7668.SPU_002606-tr,7668.SPU_011111-tr,999
7668.SPU_002637-tr,7668.SPU_028524-tr,999
7668.SPU_002880-tr,7668.SPU_020627-tr,999
7668.SPU_002880-tr,7668.SPU_017132-tr,999
7668.SPU_002880-tr,7668.SPU_023517-tr,999
7668.SPU_002880-tr,7668.SPU_005252-tr,999
7668.SPU_002880-tr,7668.SPU_005709-tr,999
7668.SPU_002880-tr,7668.SPU_020745-tr,999
7668.SPU_002880-tr,7668.SPU_013452-tr,999
7668.SPU_002880-tr,7668.SPU_025574-tr,999
7668.SPU_002880-tr,7668.SPU_027892-tr,999
7668.SPU_002880-tr,7668.SPU_010626-tr,999
7668.SPU_002880-tr,7668.SPU_006569-tr,999
7668.SPU_002880-tr,7668.SPU_006487-tr,999
7668.SPU_002880-tr,7668.SPU_000395-tr,999
7668.SPU_002880-tr,7668.SPU_011111-tr,999
7668.SPU_002880-tr,7668.SPU_028247-tr,999
7668.SPU_003071-tr,7668.SPU_019206-tr,999
7668.SPU_003213-tr,7668.SPU_023948-tr,999
7668.SPU_003324-tr,7668.SPU_013856-tr,999
7668.SPU_003718-tr,7668.SPU_006213-tr,999
7668.SPU_003718-tr,7668.SPU_005571-tr,999
7668.SPU_003718-tr,7668.SPU_026541-tr,999
7668.SPU_003718-tr,7668.SPU_013834-tr,999
7668.SPU_003718-tr,7668.SPU_003905-tr,999
7668.SPU_003718-tr,7668.SPU_018884-tr,999
7668.SPU_003718-tr,7668.SPU_005699-tr,999
7668.SPU_003718-tr,7668.SPU_004721-tr,999
7668.SPU_003718-tr,7668.SPU_023517-tr,999
7668.SPU_003718-tr,7668.SPU_005709-tr,999
7668.SPU_003718-tr,7668.SPU_014800-tr,999
7668.SPU_003718-tr,7668.SPU_013452-tr,999
7668.SPU_003718-tr,7668.SPU_011075-tr,999
7668.SPU_003718-tr,7668.SPU_006569-tr,999
7668.SPU_003718-tr,7668.SPU_023692-tr,999
7668.SPU_003849-tr,7668.SPU_020627-tr,999
7668.SPU_003849-tr,7668.SPU_017132-tr,999
7668.SPU_003849-tr,7668.SPU_023517-tr,999
7668.SPU_003849-tr,7668.SPU_005252-tr,999
7668.SPU_003849-tr,7668.SPU_005709-tr,999
7668.SPU_003849-tr,7668.SPU_020745-tr,999
7668.SPU_003849-tr,7668.SPU_013452-tr,999
7668.SPU_003849-tr,7668.SPU_016200-tr,999
7668.SPU_003849-tr,7668.SPU_019788-tr,999
7668.SPU_003849-tr,7668.SPU_006034-tr,999
7668.SPU_003849-tr,7668.SPU_014074-tr,999
7668.SPU_003849-tr,7668.SPU_018884-tr,999
7668.SPU_003849-tr,7668.SPU_005699-tr,999
7668.SPU_003849-tr,7668.SPU_002606-tr,999
7668.SPU_003905-tr,7668.SPU_020627-tr,999
7668.SPU_003905-tr,7668.SPU_017132-tr,999
7668.SPU_003905-tr,7668.SPU_015276-tr,999
7668.SPU_003905-tr,7668.SPU_021924-tr,999
7668.SPU_003905-tr,7668.SPU_022957-tr,999
7668.SPU_003905-tr,7668.SPU_026541-tr,999
7668.SPU_003905-tr,7668.SPU_003849-tr,999
7668.SPU_003905-tr,7668.SPU_005280-tr,999
7668.SPU_003905-tr,7668.SPU_011075-tr,999
7668.SPU_003905-tr,7668.SPU_019788-tr,999
7668.SPU_003905-tr,7668.SPU_006034-tr,999
7668.SPU_003905-tr,7668.SPU_008211-tr,999
7668.SPU_003905-tr,7668.SPU_010528-tr,999
7668.SPU_003905-tr,7668.SPU_004609-tr,999
7668.SPU_003905-tr,7668.SPU_015294-tr,999
7668.SPU_004131-tr,7668.SPU_019685-tr,999
7668.SPU_004518-tr,7668.SPU_010530-tr,999
7668.SPU_004609-tr,7668.SPU_006213-tr,999
7668.SPU_004609-tr,7668.SPU_008778-tr,999
7668.SPU_004609-tr,7668.SPU_021739-tr,999
7668.SPU_004609-tr,7668.SPU_021924-tr,999
7668.SPU_004609-tr,7668.SPU_022957-tr,999
7668.SPU_004609-tr,7668.SPU_026541-tr,999
7668.SPU_004609-tr,7668.SPU_003849-tr,999
7668.SPU_004609-tr,7668.SPU_008558-tr,999
7668.SPU_004609-tr,7668.SPU_016200-tr,999
7668.SPU_004609-tr,7668.SPU_015666-tr,999
7668.SPU_004609-tr,7668.SPU_004996-tr,999
7668.SPU_004609-tr,7668.SPU_018318-tr,999
7668.SPU_004609-tr,7668.SPU_002438-tr,999
7668.SPU_004609-tr,7668.SPU_008650-tr,999
7668.SPU_004609-tr,7668.SPU_002606-tr,999
7668.SPU_004721-tr,7668.SPU_008778-tr,999
7668.SPU_004721-tr,7668.SPU_022957-tr,999
7668.SPU_004721-tr,7668.SPU_016200-tr,999
7668.SPU_004721-tr,7668.SPU_004996-tr,999
7668.SPU_004721-tr,7668.SPU_002438-tr,999
7668.SPU_004721-tr,7668.SPU_011111-tr,999
7668.SPU_004721-tr,7668.SPU_023517-tr,999
7668.SPU_004721-tr,7668.SPU_011572-tr,999
7668.SPU_004721-tr,7668.SPU_021322-tr,999
7668.SPU_004721-tr,7668.SPU_025574-tr,999
7668.SPU_004721-tr,7668.SPU_006569-tr,999
7668.SPU_004721-tr,7668.SPU_023692-tr,999
7668.SPU_004996-tr,7668.SPU_020627-tr,999
7668.SPU_004996-tr,7668.SPU_017132-tr,999
7668.SPU_004996-tr,7668.SPU_015276-tr,999
7668.SPU_004996-tr,7668.SPU_000379-tr,999
7668.SPU_004996-tr,7668.SPU_028155-tr,999
7668.SPU_004996-tr,7668.SPU_011572-tr,999
7668.SPU_004996-tr,7668.SPU_014800-tr,999
7668.SPU_004996-tr,7668.SPU_013452-tr,999
7668.SPU_004996-tr,7668.SPU_018866-tr,999
7668.SPU_004996-tr,7668.SPU_027892-tr,999
7668.SPU_004996-tr,7668.SPU_010626-tr,999
7668.SPU_004996-tr,7668.SPU_018318-tr,999
7668.SPU_004996-tr,7668.SPU_002438-tr,999
7668.SPU_004996-tr,7668.SPU_008650-tr,999
7668.SPU_004996-tr,7668.SPU_023692-tr,999
7668.SPU_005252-tr,7668.SPU_020627-tr,999
7668.SPU_005252-tr,7668.SPU_002464-tr,999
7668.SPU_005252-tr,7668.SPU_028366-tr,999
7668.SPU_005252-tr,7668.SPU_000379-tr,999
7668.SPU_005252-tr,7668.SPU_022957-tr,999
7668.SPU_005252-tr,7668.SPU_026541-tr,999
7668.SPU_005252-tr,7668.SPU_003849-tr,999
7668.SPU_005252-tr,7668.SPU_008558-tr,999
7668.SPU_005252-tr,7668.SPU_016200-tr,999
7668.SPU_005252-tr,7668.SPU_015666-tr,999
7668.SPU_005252-tr,7668.SPU_004996-tr,999
7668.SPU_005252-tr,7668.SPU_018318-tr,999
7668.SPU_005252-tr,7668.SPU_002438-tr,999
7668.SPU_005252-tr,7668.SPU_008650-tr,999
7668.SPU_005252-tr,7668.SPU_023692-tr,999
7668.SPU_005280-tr,7668.SPU_020627-tr,999
7668.SPU_005280-tr,7668.SPU_026541-tr,999
7668.SPU_005280-tr,7668.SPU_019788-tr,999
7668.SPU_005280-tr,7668.SPU_003905-tr,999
7668.SPU_005280-tr,7668.SPU_018884-tr,999
7668.SPU_005280-tr,7668.SPU_011111-tr,999
7668.SPU_005280-tr,7668.SPU_015276-tr,999
7668.SPU_005280-tr,7668.SPU_002880-tr,999
7668.SPU_005280-tr,7668.SPU_021322-tr,999
7668.SPU_005280-tr,7668.SPU_027892-tr,999
7668.SPU_005296-tr,7668.SPU_013353-tr,999
7668.SPU_005296-tr,7668.SPU_028873-tr,999
7668.SPU_005571-tr,7668.SPU_006213-tr,999
7668.SPU_005571-tr,7668.SPU_021322-tr,999
7668.SPU_005571-tr,7668.SPU_002464-tr,999
7668.SPU_005571-tr,7668.SPU_018866-tr,999
7668.SPU_005571-tr,7668.SPU_028226-tr,999
7668.SPU_005571-tr,7668.SPU_027892-tr,999
7668.SPU_005571-tr,7668.SPU_023517-tr,999
7668.SPU_005571-tr,7668.SPU_000379-tr,999
7668.SPU_005571-tr,7668.SPU_021924-tr,999
7668.SPU_005571-tr,7668.SPU_005252-tr,999
7668.SPU_005571-tr,7668.SPU_022957-tr,999
7668.SPU_005571-tr,7668.SPU_008650-tr,999
7668.SPU_005571-tr,7668.SPU_004609-tr,999
7668.SPU_005571-tr,7668.SPU_022161-tr,999
7668.SPU_005571-tr,7668.SPU_028247-tr,999
7668.SPU_005699-tr,7668.SPU_004721-tr,999
7668.SPU_005699-tr,7668.SPU_028366-tr,999
7668.SPU_005699-tr,7668.SPU_005571-tr,999
7668.SPU_005699-tr,7668.SPU_028155-tr,999
7668.SPU_005699-tr,7668.SPU_011572-tr,999
7668.SPU_005699-tr,7668.SPU_014800-tr,999
7668.SPU_005699-tr,7668.SPU_013452-tr,999
7668.SPU_005699-tr,7668.SPU_016200-tr,999
7668.SPU_005699-tr,7668.SPU_015666-tr,999
7668.SPU_005699-tr,7668.SPU_004996-tr,999
7668.SPU_005699-tr,7668.SPU_018318-tr,999
7668.SPU_005699-tr,7668.SPU_002438-tr,999
7668.SPU_005699-tr,7668.SPU_008650-tr,999
7668.SPU_005699-tr,7668.SPU_002606-tr,999
7668.SPU_005709-tr,7668.SPU_006213-tr,999
7668.SPU_005709-tr,7668.SPU_008778-tr,999
7668.SPU_005709-tr,7668.SPU_021739-tr,999
7668.SPU_005709-tr,7668.SPU_021924-tr,999
7668.SPU_005709-tr,7668.SPU_022957-tr,999
7668.SPU_005709-tr,7668.SPU_022161-tr,999
7668.SPU_005709-tr,7668.SPU_021322-tr,999
7668.SPU_005709-tr,7668.SPU_018866-tr,999
7668.SPU_005709-tr,7668.SPU_027892-tr,999
7668.SPU_005709-tr,7668.SPU_010626-tr,999
7668.SPU_005709-tr,7668.SPU_006569-tr,999
7668.SPU_005709-tr,7668.SPU_006487-tr,999
7668.SPU_005709-tr,7668.SPU_008650-tr,999
7668.SPU_005709-tr,7668.SPU_023692-tr,999
7668.SPU_006034-tr,7668.SPU_020627-tr,999
7668.SPU_006034-tr,7668.SPU_008778-tr,999
7668.SPU_006034-tr,7668.SPU_023517-tr,999
7668.SPU_006034-tr,7668.SPU_005252-tr,999
7668.SPU_006034-tr,7668.SPU_005709-tr,999
7668.SPU_006034-tr,7668.SPU_020745-tr,999
7668.SPU_006034-tr,7668.SPU_013662-tr,999
7668.SPU_006034-tr,7668.SPU_018866-tr,999
7668.SPU_006034-tr,7668.SPU_027892-tr,999
7668.SPU_006034-tr,7668.SPU_010626-tr,999
7668.SPU_006034-tr,7668.SPU_018318-tr,999
7668.SPU_006034-tr,7668.SPU_002438-tr,999
7668.SPU_006034-tr,7668.SPU_008650-tr,999
7668.SPU_006034-tr,7668.SPU_023692-tr,999
7668.SPU_006213-tr,7668.SPU_020627-tr,999
7668.SPU_006213-tr,7668.SPU_005571-tr,999
7668.SPU_006213-tr,7668.SPU_003718-tr,999
7668.SPU_006213-tr,7668.SPU_019788-tr,999
7668.SPU_006213-tr,7668.SPU_006034-tr,999
7668.SPU_006213-tr,7668.SPU_002438-tr,999
7668.SPU_006213-tr,7668.SPU_005699-tr,999
7668.SPU_006213-tr,7668.SPU_028366-tr,999
7668.SPU_006213-tr,7668.SPU_021924-tr,999
7668.SPU_006213-tr,7668.SPU_022161-tr,999
7668.SPU_006213-tr,7668.SPU_021322-tr,999
7668.SPU_006213-tr,7668.SPU_018866-tr,999
7668.SPU_006213-tr,7668.SPU_015666-tr,999
7668.SPU_006213-tr,7668.SPU_023692-tr,999
7668.SPU_006308-tr,7668.SPU_000364-tr,999
7668.SPU_006487-tr,7668.SPU_012865-tr,999
7668.SPU_006487-tr,7668.SPU_028226-tr,999
7668.SPU_006487-tr,7668.SPU_023517-tr,999
7668.SPU_006487-tr,7668.SPU_002880-tr,999
7668.SPU_006487-tr,7668.SPU_003718-tr,999
7668.SPU_006487-tr,7668.SPU_022161-tr,999
7668.SPU_006487-tr,7668.SPU_021322-tr,999
7668.SPU_006487-tr,7668.SPU_005280-tr,999
7668.SPU_006487-tr,7668.SPU_011075-tr,999
7668.SPU_006487-tr,7668.SPU_013834-tr,999
7668.SPU_006487-tr,7668.SPU_003905-tr,999
7668.SPU_006487-tr,7668.SPU_008211-tr,999
7668.SPU_006487-tr,7668.SPU_000395-tr,999
7668.SPU_006487-tr,7668.SPU_011111-tr,999
7668.SPU_006487-tr,7668.SPU_028247-tr,999
7668.SPU_006569-tr,7668.SPU_008778-tr,999
7668.SPU_006569-tr,7668.SPU_028155-tr,999
7668.SPU_006569-tr,7668.SPU_008558-tr,999
7668.SPU_006569-tr,7668.SPU_010626-tr,999
7668.SPU_006569-tr,7668.SPU_008211-tr,999
7668.SPU_006569-tr,7668.SPU_010528-tr,999
7668.SPU_006569-tr,7668.SPU_012865-tr,999
7668.SPU_006569-tr,7668.SPU_023517-tr,999
7668.SPU_006569-tr,7668.SPU_005709-tr,999
7668.SPU_006569-tr,7668.SPU_021322-tr,999
7668.SPU_006569-tr,7668.SPU_018866-tr,999
7668.SPU_006569-tr,7668.SPU_015666-tr,999
7668.SPU_006569-tr,7668.SPU_023692-tr,999
7668.SPU_006944-tr,7668.SPU_008776-tr,999
7668.SPU_007202-tr,7668.SPU_009300-tr,999
7668.SPU_007595-tr,7668.SPU_014882-tr,999
7668.SPU_007670-tr,7668.SPU_028912-tr,999
7668.SPU_007960-tr,7668.SPU_000022-tr,999
7668.SPU_007960-tr,7668.SPU_001183-tr,999
7668.SPU_008211-tr,7668.SPU_006213-tr,999
7668.SPU_008211-tr,7668.SPU_028226-tr,999
7668.SPU_008211-tr,7668.SPU_022957-tr,999
7668.SPU_008211-tr,7668.SPU_016200-tr,999
7668.SPU_008211-tr,7668.SPU_004996-tr,999
7668.SPU_008211-tr,7668.SPU_002438-tr,999
7668.SPU_008211-tr,7668.SPU_008650-tr,999
7668.SPU_008211-tr,7668.SPU_012865-tr,999
